timestamp_utc,zone_id,subzone_id,device_name,esp_device_name,esp_id,gpio,sensor_type,raw_value,processed_value,unit,processing_mode,quality,data_source,config_sensor_name
2026-05-11 09:20:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,24317,19.9,°C,pi_enhanced,good,production,""
2026-05-11 09:20:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.9156,0.9156,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:20:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,40015,61.1,%RH,pi_enhanced,good,production,""
2026-05-11 09:20:50,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,281,17.56,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:20:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,24392,20.1,°C,pi_enhanced,good,production,""
2026-05-11 09:20:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,39745,60.6,%RH,pi_enhanced,good,production,""
2026-05-11 09:20:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.9317,0.9317,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:20:19,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,280,17.5,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:19:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,24444,20.3,°C,pi_enhanced,good,production,""
2026-05-11 09:19:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,39613,60.4,%RH,pi_enhanced,good,production,""
2026-05-11 09:19:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.9338,0.9338,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:19:48,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,280,17.5,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:19:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,24439,20.3,°C,pi_enhanced,good,production,""
2026-05-11 09:19:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,39862,60.8,%RH,pi_enhanced,good,production,""
2026-05-11 09:19:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.8742,0.8742,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:19:17,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,280,17.5,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:18:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,41473,63.3,%RH,pi_enhanced,good,production,""
2026-05-11 09:18:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,24355,20,°C,pi_enhanced,good,production,""
2026-05-11 09:18:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.3344,0.3344,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:18:47,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,280,17.5,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:18:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.195,0.195,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:18:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,56165,85.7,%RH,pi_enhanced,fair,production,""
2026-05-11 09:18:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,24138,19.5,°C,pi_enhanced,good,production,""
2026-05-11 09:18:16,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,280,17.5,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:17:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23826,18.6,°C,pi_enhanced,good,production,""
2026-05-11 09:17:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,59916,91.4,%RH,pi_enhanced,fair,production,""
2026-05-11 09:17:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.5015,0.5015,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:17:45,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,279,17.44,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:17:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23361,17.4,°C,pi_enhanced,good,production,""
2026-05-11 09:17:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,50202,76.6,%RH,pi_enhanced,good,production,""
2026-05-11 09:17:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.6101,0.6101,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:17:14,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,279,17.44,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:16:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.5985,0.5985,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:16:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23288,17.2,°C,pi_enhanced,good,production,""
2026-05-11 09:16:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,45391,69.3,%RH,pi_enhanced,good,production,""
2026-05-11 09:16:44,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,279,17.44,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:16:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,45533,69.5,%RH,pi_enhanced,good,production,""
2026-05-11 09:16:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.5966,0.5966,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:16:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23288,17.2,°C,pi_enhanced,good,production,""
2026-05-11 09:16:13,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,278,17.38,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:15:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,45607,69.6,%RH,pi_enhanced,good,production,""
2026-05-11 09:15:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23288,17.2,°C,pi_enhanced,good,production,""
2026-05-11 09:15:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.6005,0.6005,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:15:42,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,278,17.38,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:15:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.5987,0.5987,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:15:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,45514,69.4,%RH,pi_enhanced,good,production,""
2026-05-11 09:15:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23267,17.1,°C,pi_enhanced,good,production,""
2026-05-11 09:14:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,45404,69.3,%RH,pi_enhanced,good,production,""
2026-05-11 09:14:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_temp,23251,17.1,°C,pi_enhanced,good,production,""
2026-05-11 09:14:27,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.5987,0.5987,kPa,computed,good,production,VPD (berechnet)
2026-05-11 09:14:10,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,4,ds18b20,277,17.31,°C,pi_enhanced,good,production,Temp BAE1
2026-05-11 09:13:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,sht31_humidity,45395,69.3,%RH,pi_enhanced,good,production,""
2026-05-11 09:13:57,test_1,,,,f1baddef-ac64-465f-9dee-d14639745e11,0,vpd,0.6026,0.6026,kPa,computed,good,production,VPD (berechnet)
